Y,X
-23.6493928435614,-46.5723912391664
-23.6494137494931,-46.5723322935043
-23.6493789113099,-46.5723188132418
-23.6493971684517,-46.5722614688942
-23.6494350065902,-46.5722758014916
-23.6494473997151,-46.5722404322751
-23.6494067230888,-46.5722093277058
-23.649444050021,-46.5721628256224
-23.6497716064855,-46.5724598613847
-23.6498244707541,-46.5724017058351
